Process_ID,User_Name,Priority,Nice_Value,Virtual_Memory_Size,Resident_Memory_Size,Shared_Memory_Size,Process_Status,CPU_Usage,Memory_Usage,CPU_Time,Command_Name
99618,isme,20,0,37420,25076,8920,R,93.3,0.3,0:00.14,poetry
99618,isme,20,0,52964,37528,10084,R,93.3,0.5,0:00.29,poetry
99618,isme,20,0,39816,27348,9328,R,86.7,0.3,0:00.43,python
99618,isme,20,0,1595848,36632,10532,S,43.8,0.5,0:00.50,python
99618,isme,20,0,1595848,37124,10852,S,0.0,0.5,0:00.50,python
99618,isme,20,0,1596104,37232,10852,S,46.7,0.5,0:00.57,python
99618,isme,20,0,1596104,52204,10852,S,320.0,0.7,0:01.05,python
99618,isme,20,0,1596104,52204,10852,S,33.3,0.7,0:01.10,python
99618,isme,20,0,1596104,52204,10852,S,40.0,0.7,0:01.16,python
99618,isme,20,0,1596104,52872,10948,S,213.3,0.7,0:01.48,python
99618,isme,20,0,1596104,52872,10948,S,66.7,0.7,0:01.59,python
99618,isme,20,0,1596872,53604,10996,S,60.0,0.7,0:01.68,python
99618,isme,20,0,1598408,55492,10996,S,113.3,0.7,0:01.86,python
99618,isme,20,0,1600456,58112,10996,S,100.0,0.7,0:02.01,python
99618,isme,20,0,1600968,58376,10996,S,100.0,0.7,0:02.16,python
99618,isme,20,0,1604040,61140,10996,S,113.3,0.8,0:02.33,python
99618,isme,20,0,1604552,61932,10996,S,80.0,0.8,0:02.46,python
99618,isme,20,0,1605320,62456,10996,S,113.3,0.8,0:02.64,python
99618,isme,20,0,1606088,63244,10996,S,113.3,0.8,0:02.81,python
99618,isme,20,0,1607880,65144,10996,S,113.3,0.8,0:02.99,python
99618,isme,20,0,1608136,65668,10996,S,80.0,0.8,0:03.12,python
99618,isme,20,0,1608904,66196,10996,S,113.3,0.8,0:03.30,python
99618,isme,20,0,1610440,67908,10996,S,113.3,0.9,0:03.48,python
99618,isme,20,0,1613000,70292,10996,S,100.0,0.9,0:03.63,python
99618,isme,20,0,1613000,70292,10996,S,53.3,0.9,0:03.71,python
99618,isme,20,0,1613256,70552,10996,S,120.0,0.9,0:03.90,python
99618,isme,20,0,1615560,73140,10996,S,106.7,0.9,0:04.07,python
99618,isme,20,0,1616328,74196,10996,S,133.3,0.9,0:04.27,python
99618,isme,20,0,1616584,74468,10996,S,53.3,0.9,0:04.35,python
99618,isme,20,0,1616584,74468,10996,S,60.0,0.9,0:04.44,python
99618,isme,20,0,1616584,74728,10996,S,53.3,0.9,0:04.53,python
99618,isme,20,0,1616584,75784,10996,S,46.7,1.0,0:04.61,python
99618,isme,20,0,1616584,75784,10996,S,66.7,1.0,0:04.71,python
99618,isme,20,0,1616584,76312,10996,S,93.3,1.0,0:04.85,python
99618,isme,20,0,1617096,76776,10996,S,66.7,1.0,0:04.96,python
99618,isme,20,0,1617352,77304,10996,S,43.8,1.0,0:05.04,python
99618,isme,20,0,1617608,77568,10996,S,113.3,1.0,0:05.21,python
99618,isme,20,0,1618632,78664,10996,S,93.3,1.0,0:05.35,python
99618,isme,20,0,1619912,80208,10996,S,113.3,1.0,0:05.53,python
99618,isme,20,0,1621704,82028,10996,S,106.7,1.0,0:05.69,python
99618,isme,20,0,1622728,82552,10996,S,113.3,1.0,0:05.86,python
99618,isme,20,0,1622984,82812,10996,S,80.0,1.0,0:05.98,python
99618,isme,20,0,1623240,83728,10996,S,66.7,1.1,0:06.09,python
99618,isme,20,0,1623496,84248,10996,S,86.7,1.1,0:06.24,python
99618,isme,20,0,1624520,85168,10996,S,66.7,1.1,0:06.34,python
99618,isme,20,0,1625288,86144,10996,S,100.0,1.1,0:06.50,python
99618,isme,20,0,1625288,86144,10996,S,100.0,1.1,0:06.66,python
99618,isme,20,0,1625288,86144,10996,S,53.3,1.1,0:06.75,python
99618,isme,20,0,1625288,86144,10996,S,53.3,1.1,0:06.83,python
99618,isme,20,0,1626056,86880,10996,S,66.7,1.1,0:06.93,python
99618,isme,20,0,1626056,86880,10996,S,106.7,1.1,0:07.10,python
99618,isme,20,0,1626312,87336,10996,S,75.0,1.1,0:07.22,python
99618,isme,20,0,1627336,87860,10996,S,113.3,1.1,0:07.39,python
99618,isme,20,0,1627848,88440,10996,S,133.3,1.1,0:07.59,python
99618,isme,20,0,1628872,89820,10996,S,80.0,1.1,0:07.71,python
99618,isme,20,0,1628872,89820,10996,S,66.7,1.1,0:07.82,python
99618,isme,20,0,1629896,90684,10996,S,106.7,1.1,0:07.98,python
99618,isme,20,0,1630408,91260,10996,S,93.3,1.2,0:08.12,python
99618,isme,20,0,1632200,93024,10996,S,73.3,1.2,0:08.24,python
99618,isme,20,0,1632968,93816,10996,S,60.0,1.2,0:08.33,python
99618,isme,20,0,1633992,94864,10996,S,40.0,1.2,0:08.40,python
99618,isme,20,0,1633992,94864,10996,S,53.3,1.2,0:08.48,python
99618,isme,20,0,1634248,95392,10996,S,60.0,1.2,0:08.58,python
99618,isme,20,0,1634248,95392,10996,S,73.3,1.2,0:08.69,python
99618,isme,20,0,1635016,96184,10996,S,106.2,1.2,0:08.86,python
99618,isme,20,0,1635272,96976,10996,S,100.0,1.2,0:09.02,python
99618,isme,20,0,1635784,97388,10996,S,113.3,1.2,0:09.20,python
99618,isme,20,0,1635784,97388,10996,S,53.3,1.2,0:09.29,python
99618,isme,20,0,1635784,97388,10996,S,66.7,1.2,0:09.40,python
99618,isme,20,0,1637576,99284,10996,S,106.7,1.3,0:09.58,python
99618,isme,20,0,1637832,100076,10996,S,86.7,1.3,0:09.71,python
99618,isme,20,0,1638856,100844,10996,S,120.0,1.3,0:09.89,python
99618,isme,20,0,1640392,102168,10996,S,113.3,1.3,0:10.07,python
99618,isme,20,0,1641160,103436,10996,S,113.3,1.3,0:10.25,python
99618,isme,20,0,1641416,103436,10996,S,100.0,1.3,0:10.40,python
99618,isme,20,0,1642184,104228,10996,S,120.0,1.3,0:10.59,python
99618,isme,20,0,1642440,104384,10996,S,93.3,1.3,0:10.73,python
99618,isme,20,0,1643208,105688,10996,S,113.3,1.3,0:10.90,python
99618,isme,20,0,1643976,106740,10996,S,133.3,1.4,0:11.11,python
99618,isme,20,0,1644232,106740,10996,S,66.7,1.4,0:11.21,python
99618,isme,20,0,1644744,107004,10996,S,50.0,1.4,0:11.30,python
99618,isme,20,0,1644744,107264,10996,S,37.5,1.4,0:11.36,python
99618,isme,20,0,1645000,107528,10996,S,73.3,1.4,0:11.47,python
99618,isme,20,0,1645256,108056,10996,S,66.7,1.4,0:11.58,python
99618,isme,20,0,1646024,108816,10996,S,126.7,1.4,0:11.78,python
99618,isme,20,0,1646024,108816,10996,S,93.3,1.4,0:11.92,python
