Process_ID,User_Name,Priority,Nice_Value,Virtual_Memory_Size,Resident_Memory_Size,Shared_Memory_Size,Process_Status,CPU_Usage,Memory_Usage,CPU_Time,Command_Name
102243,isme,20,0,37032,24364,8796,R,100.0,0.3,0:00.15,poetry
102243,isme,20,0,52068,36704,10084,R,93.3,0.5,0:00.29,poetry
102243,isme,20,0,31084,18696,8644,R,86.7,0.2,0:00.43,python
102243,isme,20,0,1595588,36132,10412,S,86.7,0.5,0:00.56,python
102243,isme,20,0,1595588,36684,10796,S,0.0,0.5,0:00.56,python
102243,isme,20,0,1595588,36684,10796,S,0.0,0.5,0:00.56,python
102243,isme,20,0,1595588,42016,10796,S,220.0,0.5,0:00.90,python
102243,isme,20,0,1595588,51764,10796,S,120.0,0.7,0:01.08,python
102243,isme,20,0,1595588,51764,10796,S,20.0,0.7,0:01.11,python
102243,isme,20,0,1595844,52516,10884,S,113.3,0.7,0:01.28,python
102243,isme,20,0,1595844,52516,10884,S,212.5,0.7,0:01.62,python
102243,isme,20,0,1596100,52980,10932,S,43.8,0.7,0:01.69,python
102243,isme,20,0,1597380,55012,10932,S,86.7,0.7,0:01.82,python
102243,isme,20,0,1599940,57156,10932,S,106.7,0.7,0:01.99,python
102243,isme,20,0,1600708,58048,10932,S,80.0,0.7,0:02.11,python
102243,isme,20,0,1601476,59000,10932,S,120.0,0.7,0:02.30,python
102243,isme,20,0,1602756,60152,10932,S,113.3,0.8,0:02.47,python
102243,isme,20,0,1604548,61724,10932,S,113.3,0.8,0:02.64,python
102243,isme,20,0,1605572,63216,10932,S,80.0,0.8,0:02.77,python
102243,isme,20,0,1506300,73952,11440,S,106.7,0.9,0:02.94,python
102243,isme,20,0,1647664,113728,11440,S,146.7,1.4,0:03.16,python
102243,isme,20,0,1647664,113992,11440,S,233.3,1.4,0:03.52,python
102243,isme,20,0,1647664,113992,11440,S,253.3,1.4,0:03.90,python
102243,isme,20,0,1659440,131876,11440,S,125.0,1.7,0:04.10,python
102243,isme,20,0,1684272,172112,11440,S,126.7,2.2,0:04.29,python
102243,isme,20,0,1687856,177048,11440,S,140.0,2.2,0:04.51,python
102243,isme,20,0,1687856,177048,11440,S,240.0,2.2,0:04.89,python
102243,isme,20,0,1688368,177892,11440,S,233.3,2.3,0:05.25,python
102243,isme,20,0,1688880,178156,11440,S,193.3,2.3,0:05.54,python
102243,isme,20,0,1688880,178156,11440,S,33.3,2.3,0:05.59,python
102243,isme,20,0,1692464,182644,11440,S,75.0,2.3,0:05.71,python
102243,isme,20,0,1710640,204624,11440,S,120.0,2.6,0:05.89,python
102243,isme,20,0,1718064,213064,11440,S,106.7,2.7,0:06.06,python
102243,isme,20,0,1726256,222928,11440,S,175.0,2.8,0:06.34,python
102243,isme,20,0,1727024,225040,11440,S,253.3,2.8,0:06.73,python
102243,isme,20,0,1750064,259560,11440,S,120.0,3.3,0:06.91,python
102243,isme,20,0,1759280,275240,11440,S,113.3,3.5,0:07.09,python
102243,isme,20,0,1766448,285664,11440,S,193.3,3.6,0:07.38,python
102243,isme,20,0,1766448,285664,11440,S,246.7,3.6,0:07.77,python
102243,isme,20,0,1767216,287020,11440,S,133.3,3.6,0:07.98,python
102243,isme,20,0,1767472,287284,11440,S,353.3,3.6,0:08.55,python
102243,isme,20,0,1767984,288336,11440,S,33.3,3.6,0:08.62,python
102243,isme,20,0,1781296,302448,11440,S,113.3,3.8,0:08.80,python
102243,isme,20,0,1786928,310168,11440,S,220.0,3.9,0:09.13,python
102243,isme,20,0,1791536,314664,11440,S,113.3,4.0,0:09.31,python
102243,isme,20,0,1798960,321604,11440,S,126.7,4.1,0:09.51,python
102243,isme,20,0,1803056,325472,11440,S,220.0,4.1,0:09.84,python
102243,isme,20,0,1803312,326260,11440,S,100.0,4.1,0:10.00,python
102243,isme,20,0,1803568,326260,11440,S,180.0,4.1,0:10.32,python
102243,isme,20,0,1803568,326260,11440,S,6.7,4.1,0:10.33,python
102243,isme,20,0,1664236,284136,11440,R,100.0,3.6,0:10.52,python
102243,isme,20,0,1664236,284136,11440,R,100.0,3.6,0:10.67,python
102243,isme,20,0,1578476,198392,11440,R,93.3,2.5,0:10.82,python
